* Block Type = 384-Well Block
* Calibration Background is expired  = No
* Calibration Background performed on  = 2025-04-07 11:19:53 AM CEST
* Calibration CY3 is expired  = Yes
* Calibration CY3 performed on  = 2024-02-12 10:17:15 AM CET
* Calibration FAM is expired  = No
* Calibration FAM performed on  = 2025-04-07 11:44:18 AM CEST
* Calibration MELTDOCTOR is expired  = Yes
* Calibration MELTDOCTOR performed on  = 2024-12-03 10:22:54 AM CET
* Calibration NED is expired  = No
* Calibration NED performed on  = 2025-04-07 12:27:00 PM CEST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2024-10-25 13:12:18 PM CEST
* Calibration ROX is expired  = No
* Calibration ROX performed on  = 2025-04-07 12:03:24 PM CEST
* Calibration SYBR is expired  = No
* Calibration SYBR performed on  = 2025-04-07 12:36:15 PM CEST
* Calibration TAMRA is expired  = No
* Calibration TAMRA performed on  = 2025-04-07 12:16:19 PM CEST
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on  = 2025-04-07 11:32:14 AM CEST
* Calibration VIC is expired  = No
* Calibration VIC performed on  = 2025-04-07 11:52:56 AM CEST
* Chemistry = TAQMAN
* Experiment Barcode = 
* Experiment Comments = NA
* Experiment File Name = I:\Common\6. Lab operations\PCR-runs\REP_001729 250722 SJ VIia7.eds
* Experiment Name = REP_001729 250722 SJ VIia7
* Experiment Run End Time = 2025-07-22 13:01:53 PM CEST
* Experiment Type = Standard Curve
* Experiment User Name = NA
* Instrument Name = 28880932
* Instrument Serial Number = 278880932
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Well Position	Sample Name	Target Name	Ct Threshold	Baseline Start	Baseline End	Comments	Reporter	CT
197	I5	SE-25-0766-P01-E3	MDP2309-r	0.080	1	42	1861812	VIC	25.190
197	I5	SE-25-0766-P01-E3	MDP2309-t	0.050	1	42	1861812	FAM	25.535
199	I7	SE-25-0766-P01-E4	MDP2309-r	0.080	1	42	1861814	VIC	24.957
199	I7	SE-25-0766-P01-E4	MDP2309-t	0.050	1	42	1861814	FAM	25.477
201	I9	SE-25-0766-P01-E5	MDP2309-r	0.080	1	42	1861816	VIC	25.117
201	I9	SE-25-0766-P01-E5	MDP2309-t	0.050	1	42	1861816	FAM	25.667
203	I11	SE-25-0766-P01-E6	MDP2309-r	0.080	1	42	1861818	VIC	24.753
203	I11	SE-25-0766-P01-E6	MDP2309-t	0.050	1	42	1861818	FAM	25.323
205	I13	SE-25-0766-P01-E7	MDP2309-r	0.080	1	42	1861820	VIC	25.124
205	I13	SE-25-0766-P01-E7	MDP2309-t	0.050	1	42	1861820	FAM	25.745
207	I15	SE-25-0766-P01-E8	MDP2309-r	0.080	1	42	1861822	VIC	24.758
207	I15	SE-25-0766-P01-E8	MDP2309-t	0.050	1	42	1861822	FAM	25.539
209	I17	SE-25-0766-P01-E9	MDP2309-r	0.080	1	42	1861824	VIC	25.170
209	I17	SE-25-0766-P01-E9	MDP2309-t	0.050	1	42	1861824	FAM	25.641
211	I19	SE-25-0766-P01-E10	MDP2309-r	0.080	1	42	1861826	VIC	25.070
211	I19	SE-25-0766-P01-E10	MDP2309-t	0.050	1	42	1861826	FAM	25.422
213	I21	SE-25-0766-P01-E11	MDP2309-r	0.080	1	42	1861828	VIC	24.555
213	I21	SE-25-0766-P01-E11	MDP2309-t	0.050	1	42	1861828	FAM	24.980
215	I23	SE-25-0766-P01-E12	MDP2309-r	0.080	1	42	1861830	VIC	34.762
215	I23	SE-25-0766-P01-E12	MDP2309-t	0.050	1	42	1861830	FAM	Undetermined
241	K1	SE-25-0766-P01-F1	MDP2309-r	0.080	1	42	1861832	VIC	24.706
241	K1	SE-25-0766-P01-F1	MDP2309-t	0.050	1	42	1861832	FAM	24.941
243	K3	SE-25-0766-P01-F2	MDP2309-r	0.080	1	42	1861834	VIC	25.161
243	K3	SE-25-0766-P01-F2	MDP2309-t	0.050	1	42	1861834	FAM	25.625
245	K5	SE-25-0766-P01-F3	MDP2309-r	0.080	1	42	1861836	VIC	24.858
245	K5	SE-25-0766-P01-F3	MDP2309-t	0.050	1	42	1861836	FAM	25.331
247	K7	SE-25-0766-P01-F4	MDP2309-r	0.080	1	42	1861838	VIC	24.801
247	K7	SE-25-0766-P01-F4	MDP2309-t	0.050	1	42	1861838	FAM	25.077
249	K9	SE-25-0766-P01-F5	MDP2309-r	0.080	1	42	1861840	VIC	24.764
249	K9	SE-25-0766-P01-F5	MDP2309-t	0.050	1	42	1861840	FAM	25.231
251	K11	SE-25-0766-P01-F6	MDP2309-r	0.080	1	42	1861842	VIC	24.970
251	K11	SE-25-0766-P01-F6	MDP2309-t	0.050	1	42	1861842	FAM	25.354
253	K13	SE-25-0766-P01-F7	MDP2309-r	0.080	1	42	1861844	VIC	24.749
253	K13	SE-25-0766-P01-F7	MDP2309-t	0.050	1	42	1861844	FAM	25.047
255	K15	SE-25-0766-P01-F8	MDP2309-r	0.080	1	42	1861846	VIC	25.076
255	K15	SE-25-0766-P01-F8	MDP2309-t	0.050	1	42	1861846	FAM	25.614
257	K17	SE-25-0766-P01-F9	MDP2309-r	0.080	1	42	1861848	VIC	24.700
257	K17	SE-25-0766-P01-F9	MDP2309-t	0.050	1	42	1861848	FAM	25.027
259	K19	SE-25-0766-P01-F10	MDP2309-r	0.080	1	42	1861850	VIC	24.794
259	K19	SE-25-0766-P01-F10	MDP2309-t	0.050	1	42	1861850	FAM	25.247
261	K21	SE-25-0766-P01-F11	MDP2309-r	0.080	1	42	1861852	VIC	24.506
261	K21	SE-25-0766-P01-F11	MDP2309-t	0.050	1	42	1861852	FAM	25.014
263	K23	SE-25-0766-P01-F12	MDP2309-r	0.080	1	42	1861854	VIC	24.550
263	K23	SE-25-0766-P01-F12	MDP2309-t	0.050	1	42	1861854	FAM	24.926
